Borough,Neighborhood,latitude,longitude
North West Delhi,Adarsh Nagar,28.6141925,77.07154118
North West Delhi,Ashok Vihar,28.6994533,77.1848256
North West Delhi,Azadpur,28.7076568,77.1755473
North West Delhi,Bawana,28.79966,77.0328847
North West Delhi,Begum Pur,,
North West Delhi,Dhaka,39.0317139,-90.2612233
North West Delhi,Jahangirpuri,28.7259717,77.162658
North West Delhi,Karala,28.73514,77.0325105
North West Delhi,Keshav Puram,28.6889264,77.1616833
North West Delhi,Kingsway Camp,28.6142623,77.2015548
North West Delhi,Kohat Enclave,28.6980415,77.1405393
North West Delhi,Model Town,39.0317139,-90.2612233
North West Delhi,Narela,28.8426096,77.0918354
North West Delhi,Pitam Pura,28.7032676,77.1322497
North West Delhi,Rani Bagh,28.6859821,77.13252447
North West Delhi,Rithala,28.7208064,77.1071813
North West Delhi,Rohini Sub City,,
North West Delhi,Shalimar Bagh,28.71745265,77.15086655
North Delhi,Shakti Nagar,28.67979,77.1949142
North Delhi,Bara Hindu Rao,28.6595181,77.20501
North Delhi,Chandni Chowk,28.6434826,77.2227421
North Delhi,Chawri Bazaar,28.6499269,77.2297876
North Delhi,Civil Lines,28.6768572,77.2250565
North Delhi,Dariba Kalan,28.6546024,77.2333794
North Delhi,Ghantewala,,
North Delhi,Gulabi Bagh,,
North Delhi,Kamla Nagar,28.68034425,77.2021292
North Delhi,Kashmiri Gate,28.6699765,77.2320588
North Delhi,Kotwali,28.6585978,77.2310844
North Delhi,Lahori Gate,28.6568411,77.2185339
North Delhi,Nehru Vihar,28.7107447,77.22117438
North Delhi,Paharganj,28.6419258,77.2217499
North Delhi,Pratap Nagar,28.6667177,77.1988974
North Delhi,Pul Bangash,39.0317139,-90.2612233
North Delhi,Roshanara Bagh,28.67371835,77.19931978
North Delhi,Sadar Bazaar,,
North Delhi,Sangam Vihar,28.49770245,77.2391741
North Delhi,Sant Nagar,28.64641805,77.09118836
North Delhi,Sarai Kale Khan,28.5866263,77.25622818
North Delhi,Sarai Rohilla,28.6678728,77.1902673
North Delhi,Shakti Nagar,28.67979,77.1949142
North Delhi,Shastri Nagar,39.0317139,-90.2612233
North Delhi,Tees Hazari,,
North Delhi,Timarpur,28.70126285,77.21867954
North Delhi,Wazirabad,28.433762,77.0877572
North East Delhi,Babarpur,28.6874305,77.2797551
North East Delhi,Dilshad Garden,28.6806819,77.3220645
North East Delhi,Kabir Nagar,28.6926703,77.28354435
North East Delhi,Mandoli,28.6806042,77.2946902
North East Delhi,Maujpur,28.69201345,77.27965143
North East Delhi,Nand Nagri,28.6944581,77.31614382
North East Delhi,Naveen Shahdara,28.6773386,77.2860157
North East Delhi,New Usmanpur,,
North East Delhi,Sadatpur,,
North East Delhi,Shahdara,28.6773038,77.2903467
North East Delhi,Sonia Vihar,28.7199257,77.2481823
North East Delhi,Shastri Park,28.6684339,77.2505301
North East Delhi,Yamuna Vihar,28.700372,77.2727728
Central Delhi,Chandni Chowk,28.6434826,77.2227421
Central Delhi,Daryaganj,28.64609,77.243048
Central Delhi,Jhandewalan,28.6443363,77.1999274
Central Delhi,Karol Bagh,28.6529982,77.1890227
Central Delhi,Bara Hindu Rao,28.6595181,77.20501
Central Delhi,Paharganj,28.6419258,77.2217499
Central Delhi,Rajender Nagar,,
Central Delhi,Sadar Bazaar,,
